PC1,PC2,PC3,PC4,PC5,PC6,PC7,event,X.technology.,X.science.,X.globalissues.,X.culture.,X.TEDx.,X.design.,X.business.,X.entertainment.,X.health.,X.innovation.,lable
1.030693364,1.592236408,-0.849844322,0.953160981,-0.013143717,0.455929924,0.948908458,TEDGlobal,0,0,1,1,0,0,1,0,0,0,ok
0.236136749,1.494566824,-0.907347909,0.546541782,0.113358446,0.545569363,-0.659282411,TEDGlobal,0,0,1,1,0,0,1,0,0,0,ok
0.141560763,0.917201604,-0.472962614,0.851904862,-0.317282501,-0.082746818,0.326466637,TED original,0,0,0,0,0,1,1,0,0,0,ok
-2.401836104,0.618683835,0.831053708,0.859111848,-0.835074752,0.246761242,-1.064488587,TED original,1,0,1,1,0,0,0,0,0,0,ok
-0.869021698,2.016763479,-0.202475557,2.1976583,-1.1489322,0.015586138,0.397069681,TED original,0,0,1,0,0,0,0,1,0,0,ok
0.21668754,0.033077407,-0.507765729,3.658710908,-0.287959269,-1.105217233,-0.177726968,TED original,0,0,0,1,0,1,0,0,0,0,ok
1.256346769,-1.433970257,-0.907343611,1.372034779,-1.025645652,0.336586051,1.805771649,TED original,1,1,0,0,0,0,1,0,0,0,ok
1.922598518,0.028904711,-2.517867287,1.078782131,-0.090987194,-0.642851565,-0.327536339,TEDGlobal,1,1,0,1,0,0,0,0,0,0,ok
0.659207494,0.162264284,-0.988829555,-1.645899098,-2.865542407,-0.984937451,-1.023838146,TED original,0,1,0,1,0,0,0,1,0,0,good
1.463778423,-0.812623908,-0.955804045,2.05633439,0.161944628,-0.182706705,-0.040830057,TED original,1,1,0,1,0,0,1,0,0,0,ok
1.027310718,1.614939959,-2.493733605,1.039007632,-0.755202893,0.683117686,0.987458386,TED original,1,1,0,1,0,0,0,0,0,0,ok
-1.334189164,1.637042909,-0.505084886,0.12162843,-0.073538226,0.879911698,-0.065338872,TED original,0,0,1,1,0,0,0,0,0,0,ok
-0.946593909,0.517881215,0.41483865,-2.376833873,-0.957922477,-0.484085144,0.318914022,TED original,0,0,0,1,0,0,1,1,0,0,great
1.223275056,-0.607565873,2.980054618,-2.303788722,-2.283500701,-0.603102719,-0.375408459,TEDSalon,0,0,0,1,0,0,0,1,0,0,ok
1.122842913,0.705481551,-2.449770265,-2.239056824,1.001877425,0.452063545,-1.004527617,TED original,0,1,1,1,0,0,0,0,1,0,good
2.603221604,1.366983442,-0.309839564,1.105953411,0.536754245,0.402845152,-0.333749715,TEDGlobal,0,0,1,1,0,0,1,0,0,0,ok
0.326256651,2.365849596,-2.567486448,0.074414633,-1.248384555,1.527800902,-0.575762051,TED original,0,0,0,1,0,0,1,0,0,0,good
-0.84226196,-0.859683884,-0.335104082,1.522394538,0.096342791,-0.716651461,-0.364258246,TED original,0,0,1,1,0,0,0,0,0,0,good
-0.265731378,0.712783591,0.560144111,1.267429829,0.731818968,-0.804579909,0.134852583,TED original,0,0,1,1,0,1,0,0,0,0,ok
0.831627719,-0.827547474,-0.494991677,0.922133385,0.765116964,-1.029677633,0.150457073,TEDGlobal,1,1,0,0,0,0,0,0,0,0,good
1.154469757,1.435395574,-0.102905593,0.375013913,-1.484944793,-0.400005829,0.314812281,TED original,0,0,1,1,0,0,0,0,0,0,ok
1.177353053,-0.889902816,-2.057355177,-1.005931694,1.32397284,-1.045944987,-0.598379689,TEDSalon,0,1,0,1,0,1,0,0,1,0,ok
-0.285907853,0.187479558,-1.631425153,0.391787842,-0.105973305,-0.345221865,1.014915731,TEDGlobal,0,0,0,1,0,0,1,0,0,1,ok
-1.096824959,-3.166817866,2.677781998,1.960665521,0.833537806,1.44548064,-2.121560686,TED original,0,1,0,0,0,0,0,1,0,0,ok
-0.228731752,-0.695558228,1.423772359,1.506642799,-1.164775757,0.222579219,-0.62047341,TED original,0,0,0,1,0,0,0,1,0,0,ok
5.923990523,1.180695552,1.470499378,1.770034848,1.01184608,2.197176626,1.64093591,TED original,1,0,0,0,0,1,0,0,0,1,bad
1.20130162,-1.412502128,0.52027322,1.608235235,-0.390027493,1.406494086,1.05727388,TED original,1,1,0,1,0,0,0,0,0,0,ok
-1.243110072,1.329827122,-0.459628191,0.327106694,-0.457581711,-0.677148785,0.945672974,TEDGlobal,0,0,0,1,0,0,0,0,1,0,good
-0.88264907,1.385226738,-1.017735947,1.348524249,-0.429928895,-0.375378976,0.755298739,TED original,1,0,1,1,0,0,1,0,0,0,ok
-0.295846524,0.275255934,-0.691771375,1.508122666,-0.009360363,-0.868129097,0.364697466,TED original,1,1,1,0,0,0,0,0,0,0,ok
-2.432729477,0.64522726,0.015220351,1.738256681,-0.521865388,1.052508318,-1.373602874,TED original,0,0,1,1,0,0,0,0,0,0,ok
-1.44324709,0.632171149,-0.118822913,2.030695726,-0.139717617,-1.095702756,0.254598974,TED original,0,1,1,1,0,0,0,0,0,0,good
-0.199008718,-0.103820794,-1.100167715,-0.55640512,-1.46701666,-0.686467837,0.341735752,TED original,0,0,0,1,0,0,1,0,0,0,great
1.148519786,-0.330801055,0.33004988,0.632065945,-1.137767347,-1.202400872,-0.379728087,TED original,1,1,0,1,0,0,0,0,0,0,ok
